BI007, martin, B002, C001, 2000, 10000.00 
BI005, martin, B002, C001, 1989, 10000.00 
BI044, Hamilton, B001, C001, 2008, 4400.00 
BI100, Verstappen, B001, c002, 2017, 1000.00 
BI001, electric bike, B002, C001, 2023, 1000.00 
BI063, Russel, B002, C001, 2022, 630.00 
BI003, mountain bike, B002, C002, 2005, 500.00 
BI002, hybrid bike, B001, C001, 2024, 450.00 
BI008, offroad bike, B001, C001, 2023, 400.25 
BI013, bottas, B002, C001, 2019, 246.00 
BI004, ABC, B001, C002, 2030, 1.00 
BI009, AbC, B003, C002, 2031, 2.00 
BI006, abc, B003, C002, 2032, 3.00 
BI010, abc, B003, C002, 2033, 4.00 
